post_id,platform,author_id,content,like_count,comment_count,share_count,posted_at,fetched_at,engagement_score,date
bum2e8KQOS0,YouTube,UCC7MG9IxTXe2hJGtglpoamw,👉 Only 1% Can Solve This Python Quiz! 🐍🔥 | Are You Smart Enough? Can you solve this tricky Python quiz? Comment your answer below and challenge your friends! More fun Python challenges ...,0,0,0,2025-08-20 17:34:43+00:00,2025-08-20T20:48:00.435601+00:00,0,8/20/2025
Owah83Rstm8,YouTube,UCE3Q1BsHrW6FK4aSUdO32bQ,Scientists just solved quantum computing’s biggest problem #technews #ainews #coding #python #html ,11,2,0,2025-08-20 17:17:49+00:00,2025-08-20T20:48:00.840117+00:00,13,8/20/2025
1fcfZ_Ne8ok,YouTube,UCkw4JCwteGrDHIsyIIKo4tQ,Machine Learning with Python Full Course [2025] | Machine Learning - Beginner to Advanced | Edureka Edureka Machine Learning Course Master Program: ...,217,0,0,2025-08-20 17:10:36+00:00,2025-08-20T20:48:01.248989+00:00,217,8/20/2025
WHD4I3ZNHUo,YouTube,UCcRDf5jBh34_qjjCNd2o-QA,"&quot;Python @classmethod 🐍 | Accessing and Modifying Class-Level Data&quot; Explore @classmethod in Python, which allows methods to access and modify class-level variables. Useful for tracking data ...",0,0,0,2025-08-20 15:48:36+00:00,2025-08-20T20:48:01.659629+00:00,0,8/20/2025
PCAFpsdAHCE,YouTube,UCkNzhtfbxMvcyNMWG8TPsEg,Chase&#39;s TOP 5 Favorite Ball Python Listings At Kinova&#39;s MorphMarket Store Welcome To MorphMarket Vlog-58 Chase's Top 5 Favorite Ball Python Listings At Kinova's MorphMarket Store Support ...,21,1,0,2025-08-20 15:45:06+00:00,2025-08-20T20:48:02.058672+00:00,22,8/20/2025
LSCQS3eCDLY,YouTube,UC7Z_IHdrFlIBFjFkqzGgiCg,"PYTHON TERKAPAR, ELANG ANGKAT KEMENANGAN KE LANGIT‼️ Di padang liar, python besar akhirnya kalah setelah pertarungan sengit. Elang perkasa mencengkeram tubuhnya dan terbang ...",7,0,0,2025-08-20 13:50:18+00:00,2025-08-20T20:48:02.459097+00:00,7,8/20/2025
e4DUBAyr0q0,YouTube,UCcHFryI6fyl7zaHfDuTc74w,⚡Turning ChatGPT&#39;s CSV Into My Python Grind Tracker😎😎 #pythonprogramming  #python #learning ,2,0,0,2025-08-20 13:17:40+00:00,2025-08-20T20:48:02.859399+00:00,2,8/20/2025
h8VSM9iiwQk,YouTube,UCkj3Hty4B4Ugg1w4uYo3qcA,"AI projects in Python! 🚀Here are 3  AI Chatbot using Python Face Recognition, movie recommendation I'm starting my journey with AI projects in Python Here are 3 exciting beginner-friendly projects: AI Chatbot using Python ...",0,1,0,2025-08-20 12:47:09+00:00,2025-08-20T20:48:03.248343+00:00,1,8/20/2025
Py4HqeQDmog,YouTube,UCEHp0Op8Gp49QhKEv83-p7A,"👉 Python Quiz | What will be the output? In this short Python example, we take a string ""code"" and use a for loop with range(len(x)). Each character is converted to ...",0,1,0,2025-08-20 12:14:16+00:00,2025-08-20T20:48:03.648483+00:00,1,8/20/2025
KOLwixI4My4,YouTube,UCB0imFy6khTyoGdfsM3bOpg,african rock python snake african #rock #python #africanrockpython #afrika #अफ्रीकन #foren #अज़गर #azagar #snake #स्नेक #सांप ...,0,0,0,2025-08-20 12:00:09+00:00,2025-08-20T20:48:04.060171+00:00,0,8/20/2025
